127;Julio Guilherme;julio.guilherme@email.com;1234567899;12345678910;Santo André;SP;Encanador;Instalação de torneiras, chuveiros e pias| Detecção e reparos de vazamentos;1000.00;3550.00;false;Agendado;1
128;Frederico Paiva;frederico.paiva@email.com;1234567899;12345678910;Campinas;SP;Marceneiro;Poda| Controle de Pragas| Projeto e paisagismo de jardins;2000.00;2750.00;true;Finalizado;1
129;Fernando Augusto;fernando.augusto@email.com;1234567899;12345678910;São Paulo;SP;Montador;Restauração e repintura de fachadas;70.00;750.00;false;Pendente;1
130;Hugo Ferreira;hugo.ferreira@email.com;1234567899;12345678910;São Paulo;SP;Gesseiro;Instalação e manutenção elétrica residencial| Troca de fiação elétrica;700.00;750.00;true;Finalizado;1
131;Guilherme Peixoto;guilherme.peixoto@email.com;1234567899;12345678910;São Bernardo do Campo;SP;Jardineiro;Instalação de sistemas modulares;800.00;2150.00;false;Agendado;1
132;Fernanda Silva;fernanda.silva@email.com;1234567899;12345678910;São Bernardo do Campo;SP;Pintor;Molduras e sancas de gesso| Decoração em gesso 3D| Reparos e manutenção em elementos de gesso;900.00;1950.00;true;Finalizado;1
133;Flavia Pimenta;flavia.pimenta@email.com;1234567899;12345678910;Santo André;SP;Eletricista;Projeto e paisagismo de jardins;1000.00;2000.00;false;Agendado;1
134;Gustavo Barbosa;gustavo.barbosa@email.com;1234567899;12345678910;São Paulo;SP;Encanador;Poda| Controle de Pragas;700.00;1000.00;true;Pendente;1
135;Pedro Abe;pedro.abe@email.com;1234567899;12345678910;Piracicaba;SP;Marceneiro;Pintura de paredes internas e externas| Criação de projetos personalizados em madeira;50.00;150.00;false;Pendente;1
136;Vitor Holler;vitor.holler@email.com;1234567899;12345678910;São Paulo;SP;Montador;Instalação e manutenção elétrica residencial| Troca de lâmpada;1200.00;3200.00;true;Agendado;1
